index,word,qnt,,,,,,,,
65,отр,26,7806,96,"84,66","40,17",,,"79,74","84,66"
100,е н,26,7832,97,"84,95","40,59",,,"80,06","84,95"
22,а н,25,7857,98,"85,22","41,00",,,"80,38","85,22"
261,я н,24,7881,99,"85,48","41,42",,,"80,69","85,48"
12,ная,24,7905,100,"85,74","41,84",,,"81,01","85,74"
30,нет,24,7929,101,"86,00","42,26",,,"81,31","86,00"
243,ны ,24,7953,102,"86,26","42,68",,,"81,62","86,26"
254,ока,23,7976,103,"86,51","43,10",,,"81,92","86,51"
134, а ,23,7999,104,"86,76","43,51",,,"82,21","86,76"
170,дае,23,8022,105,"87,01","43,93",,,"82,50","87,01"
88,лас,23,8045,106,"87,26","44,35",,,"82,79","87,26"
190,сло,23,8068,107,"87,51","44,77",,,"83,07","87,51"
138,бор,23,8091,108,"87,75","45,19",,,"83,35","87,75"
20,ина,22,8113,109,"87,99","45,61",,,"83,62","87,99"
253,пок,22,8135,110,"88,23","46,03",,,"83,89","88,23"
72,а о,22,8157,111,"88,47","46,44",,,"84,16","88,47"
147,ела,22,8179,112,"88,71","46,86",,,"84,43","88,71"
54,той,21,8200,113,"88,94","47,28",,,"84,70","88,94"
234,ки ,21,8221,114,"89,16","47,70",,,"84,96","89,16"
5,овр,21,8242,115,"89,39","48,12",,,"85,21","89,39"
206,рои,20,8262,116,"89,61","48,54",,,"85,46","89,61"
173,мог,20,8282,117,"89,83","48,95",,,"85,71","89,83"
120, ут,20,8302,118,"90,04","49,37",,,"85,95","90,04"
34,жит,19,8321,119,"90,25","49,79",,,"86,20","90,25"
82,веч,19,8340,120,"90,46","50,21",,,"86,44","90,46"
193,а с,18,8358,121,"90,65","50,63",,,"86,68","90,65"
59,"ой,",18,8376,122,"90,85","51,05",,,"86,91","90,85"
222,кий,18,8394,123,"91,04","51,46",,,"87,14","91,04"
53,ато,18,8412,124,"91,24","51,88",,,"87,37","91,24"
207,оиз,17,8429,125,"91,42","52,30",,,"87,59","91,42"
171,аем,17,8446,126,"91,61","52,72",,,"87,82","91,61"
70,ала,16,8462,127,"91,78","53,14",,,"88,04","91,78"
195,обе,15,8477,128,"91,94","53,56",,,"88,26","91,94"
57,ено,15,8492,129,"92,10","53,97",,,"88,48","92,10"
119,е у,15,8507,130,"92,27","54,39",,,"88,69","92,27"
236,в к,15,8522,131,"92,43","54,81",,,"88,91","92,43"
157,о х,14,8536,132,"92,58","55,23",,,"89,12","92,58"
91,ку ,14,8550,133,"92,73","55,65",,,"89,33","92,73"
133,", а",14,8564,134,"92,89","56,07",,,"89,54","92,89"
196,бес,14,8578,135,"93,04","56,49",,,"89,74","93,04"
259,лся,14,8592,136,"93,19","56,90",,,"89,95","93,19"
172,емо,13,8605,137,"93,33","57,32",,,"90,15","93,33"
125,ило,13,8618,138,"93,47","57,74",,,"90,35","93,47"
160,уже,13,8631,139,"93,61","58,16",,,"90,54","93,61"
110,объ,13,8644,140,"93,75","58,58",,,"90,73","93,75"
67,рез,13,8657,141,"93,89","59,00",,,"90,91","93,89"
