charter,block,line,Enegy,,[space],ÿ,ò,,,N[space],N[ÿ],N[ò],,,,,,,
3,6,3,50, ,2,0,0,463,,"0,04","0,00","0,00",,,,,,,
3,6,4,100, ,11,3,1,563,,"0,11","0,03","0,01",,,,,,,
3,6,5,63, ,4,0,3,663,,"0,06","0,00","0,05",,,,,,,
3,6,6,127, ,12,4,3,763,,"0,09","0,03","0,02",,,,,,,
3,6,7,63, ,5,1,1,863,,"0,08","0,02","0,02",,,,,,,
3,6,8,284, ,40,3,6,963,,"0,14","0,01","0,02",,,,,,,
3,6,9,134, ,15,0,6,1063,,"0,11","0,00","0,04",,,,,,,
3,6,10,304, ,45,6,10,163,,"0,15","0,02","0,03",,,,,,,
3,7,1,159, ,20,2,4,273,,"0,13","0,01","0,03",,,,,,,
3,7,2,98, ,12,2,6,373,,"0,12","0,02","0,06",,,,,,,
3,7,3,614, ,88,18,25,473,,"0,14","0,03","0,04",,,,,,,
3,7,4,160, ,19,3,5,573,,"0,12","0,02","0,03",,,,,,,
3,7,5,105, ,13,2,4,673,,"0,12","0,02","0,04",,,,,,,
3,7,6,46, ,2,1,0,773,,"0,04","0,02","0,00",,,,,,,
3,7,7,278, ,34,4,10,873,,"0,12","0,01","0,04",,,,,,,
3,7,8,359, ,46,5,13,973,,"0,13","0,01","0,04",,,,,,,
3,7,9,313, ,49,7,15,1073,,"0,16","0,02","0,05",,,,,,,
3,7,10,278, ,38,4,18,173,,"0,14","0,01","0,06",,,,,,,
3,8,1,279, ,37,2,10,283,,"0,13","0,01","0,04",,,,,,,
3,8,2,111, ,11,2,3,383,,"0,10","0,02","0,03",,,,,,,
3,8,3,22, ,0,0,0,483,,"0,00","0,00","0,00",,,,,,,
3,8,4,51, ,3,0,1,583,,"0,06","0,00","0,02",,,,,,,
3,8,5,49, ,6,0,1,683,,"0,12","0,00","0,02",,,,,,,
3,8,6,37, ,2,0,0,783,,"0,05","0,00","0,00",,,,,,,
3,8,7,38, ,2,0,1,883,,"0,05","0,00","0,03",,,,,,,
3,8,8,45, ,3,1,1,983,,"0,07","0,02","0,02",,,,,,,
3,8,9,45, ,3,0,1,1083,,"0,07","0,00","0,02",,,,,,,
3,8,10,37, ,2,0,0,183,,"0,05","0,00","0,00",,,,,,,
3,9,1,49, ,3,0,3,293,,"0,06","0,00","0,06",,,,,,,
3,9,2,43, ,1,2,1,393,,"0,02","0,05","0,02",,,,,,,
3,9,3,37, ,2,0,0,493,,"0,05","0,00","0,00",,,,,,,
3,9,4,52, ,3,1,2,593,,"0,06","0,02","0,04",,,,,,,
3,9,5,52, ,4,1,1,693,,"0,08","0,02","0,02",,,,,,,
3,9,6,37, ,2,0,0,793,,"0,05","0,00","0,00",,,,,,,
3,9,7,42, ,3,0,1,893,,"0,07","0,00","0,02",,,,,,,
3,9,8,22, ,0,0,0,993,,"0,00","0,00","0,00",,,,,,,
3,9,9,110, ,15,2,2,1093,,"0,14","0,02","0,02",,,,,,,
3,9,10,177, ,25,3,2,193,,"0,14","0,02","0,01",,,,,,,
3,10,1,80, ,8,1,0,303,,"0,10","0,01","0,00",,,,,,,
4,0,2,49, ,2,1,0,304,,"0,04","0,02","0,00",,,,,,,
4,0,3,94, ,9,2,5,404,,"0,10","0,02","0,05",,,,,,,
4,0,4,231, ,33,2,8,504,,"0,14","0,01","0,03",,,,,,,
4,0,5,69, ,3,0,3,604,,"0,04","0,00","0,04",,,,,,,
4,0,6,192, ,22,5,3,704,,"0,11","0,03","0,02",,,,,,,
4,0,7,59, ,3,0,0,804,,"0,05","0,00","0,00",,,,,,,
4,0,8,353, ,49,8,9,904,,"0,14","0,02","0,03",,,,,,,
4,0,9,168, ,22,2,7,1004,,"0,13","0,01","0,04",,,,,,,
4,0,10,81, ,5,3,1,104,,"0,06","0,04","0,01",,,,,,,
4,1,1,89, ,7,0,3,214,,"0,08","0,00","0,03",,,,,,,
4,1,2,22, ,0,0,0,314,,"0,00","0,00","0,00",,,,,,,
4,1,3,58, ,6,0,1,414,,"0,10","0,00","0,02",,,,,,,
4,1,4,48, ,5,0,2,514,,"0,10","0,00","0,04",,,,,,,
4,1,5,22, ,0,0,0,614,,"0,00","0,00","0,00",,,,,,,
4,1,6,280, ,39,5,7,714,,"0,14","0,02","0,03",,,,,,,
4,1,7,149, ,18,0,4,814,,"0,12","0,00","0,03",,,,,,,
4,1,8,34, ,0,0,1,914,,"0,00","0,00","0,03",,,,,,,
4,1,9,80, ,6,0,1,1014,,"0,08","0,00","0,01",,,,,,,
4,1,10,152, ,18,4,4,114,,"0,12","0,03","0,03",,,,,,,
4,2,1,132, ,12,0,3,224,,"0,09","0,00","0,02",,,,,,,
4,2,2,180, ,19,3,8,324,,"0,11","0,02","0,04",,,,,,,
4,2,3,155, ,20,3,4,424,,"0,13","0,02","0,03",,,,,,,
4,2,4,93, ,8,1,3,524,,"0,09","0,01","0,03",,,,,,,
4,2,5,408, ,55,12,10,624,,"0,13","0,03","0,02",,,,,,,
4,2,6,195, ,22,4,5,724,,"0,11","0,02","0,03",,,,,,,
4,2,7,22, ,0,0,0,824,,"0,00","0,00","0,00",,,,,,,
4,2,8,45, ,3,0,1,924,,"0,07","0,00","0,02",,,,,,,
4,2,9,42, ,2,0,0,1024,,"0,05","0,00","0,00",,,,,,,
4,2,10,49, ,1,1,2,124,,"0,02","0,02","0,04",,,,,,,
4,3,1,43, ,3,0,2,234,,"0,07","0,00","0,05",,,,,,,
4,3,2,22, ,0,0,0,334,,"0,00","0,00","0,00",,,,,,,
4,3,3,689, ,92,13,34,434,,"0,13","0,02","0,05",,,,,,,
4,3,4,57, ,5,2,1,534,,"0,09","0,04","0,02",,,,,,,
4,3,5,22, ,0,0,0,634,,"0,00","0,00","0,00",,,,,,,
4,3,6,45, ,3,0,1,734,,"0,07","0,00","0,02",,,,,,,
4,3,7,42, ,2,1,0,834,,"0,05","0,02","0,00",,,,,,,
4,3,8,45, ,3,0,0,934,,"0,07","0,00","0,00",,,,,,,
4,3,9,45, ,3,0,0,1034,,"0,07","0,00","0,00",,,,,,,
4,3,10,22, ,0,0,0,134,,"0,00","0,00","0,00",,,,,,,
4,4,1,127, ,16,3,2,244,,"0,13","0,02","0,02",,,,,,,
4,4,2,325, ,50,8,8,344,,"0,15","0,02","0,02",,,,,,,
4,4,3,187, ,25,7,4,444,,"0,13","0,04","0,02",,,,,,,
4,4,4,92, ,10,1,4,544,,"0,11","0,01","0,04",,,,,,,
4,4,5,162, ,21,4,5,644,,"0,13","0,02","0,03",,,,,,,
4,4,6,120, ,13,1,2,744,,"0,11","0,01","0,02",,,,,,,
4,4,7,60, ,3,1,0,844,,"0,05","0,02","0,00",,,,,,,
4,4,8,41, ,2,0,1,944,,"0,05","0,00","0,02",,,,,,,
4,4,9,89, ,8,1,0,1044,,"0,09","0,01","0,00",,,,,,,
4,4,10,114, ,15,3,3,144,,"0,13","0,03","0,03",,,,,,,
4,5,1,86, ,7,0,1,254,,"0,08","0,00","0,01",,,,,,,
4,5,2,51, ,2,1,0,354,,"0,04","0,02","0,00",,,,,,,
4,5,3,50, ,2,1,1,454,,"0,04","0,02","0,02",,,,,,,
4,5,4,265, ,35,11,13,554,,"0,13","0,04","0,05",,,,,,,
4,5,5,163, ,24,5,4,654,,"0,15","0,03","0,02",,,,,,,
4,5,6,103, ,9,1,5,754,,"0,09","0,01","0,05",,,,,,,
4,5,7,65, ,9,1,0,854,,"0,14","0,02","0,00",,,,,,,
4,5,8,62, ,4,2,1,954,,"0,06","0,03","0,02",,,,,,,
4,5,9,37, ,1,0,0,1054,,"0,03","0,00","0,00",,,,,,,
4,5,10,49, ,2,0,2,154,,"0,04","0,00","0,04",,,,,,,
4,6,1,81, ,8,2,2,264,,"0,10","0,02","0,02",,,,,,,
4,6,2,67, ,5,0,2,364,,"0,07","0,00","0,03",,,,,,,
4,6,3,182, ,22,3,4,464,,"0,12","0,02","0,02",,,,,,,
4,6,4,100, ,10,1,3,564,,"0,10","0,01","0,03",,,,,,,
4,6,5,64, ,7,0,1,664,,"0,11","0,00","0,02",,,,,,,
4,6,6,130, ,18,3,2,764,,"0,14","0,02","0,02",,,,,,,
4,6,7,149, ,15,2,8,864,,"0,10","0,01","0,05",,,,,,,
4,6,8,226, ,32,8,12,964,,"0,14","0,04","0,05",,,,,,,
4,6,9,81, ,8,2,6,1064,,"0,10","0,02","0,07",,,,,,,
4,6,10,389, ,56,8,13,164,,"0,14","0,02","0,03",,,,,,,
4,7,1,106, ,12,2,2,274,,"0,11","0,02","0,02",,,,,,,
4,7,2,50, ,3,0,0,374,,"0,06","0,00","0,00",,,,,,,
4,7,3,109, ,14,1,0,474,,"0,13","0,01","0,00",,,,,,,
4,7,4,40, ,1,0,0,574,,"0,03","0,00","0,00",,,,,,,
4,7,5,104, ,12,2,3,674,,"0,12","0,02","0,03",,,,,,,
4,7,6,161, ,19,4,7,774,,"0,12","0,02","0,04",,,,,,,
4,7,7,121, ,17,1,5,874,,"0,14","0,01","0,04",,,,,,,
4,7,8,185, ,27,3,10,974,,"0,15","0,02","0,05",,,,,,,
4,7,9,164, ,20,4,7,1074,,"0,12","0,02","0,04",,,,,,,
4,7,10,385, ,62,5,22,174,,"0,16","0,01","0,06",,,,,,,
4,8,1,154, ,21,4,4,284,,"0,14","0,03","0,03",,,,,,,
4,8,2,98, ,13,3,3,384,,"0,13","0,03","0,03",,,,,,,
4,8,3,764, ,119,19,26,484,,"0,16","0,02","0,03",,,,,,,
4,8,4,296, ,47,8,7,584,,"0,16","0,03","0,02",,,,,,,
4,8,5,122, ,19,3,6,684,,"0,16","0,02","0,05",,,,,,,
4,8,6,69, ,7,0,0,784,,"0,10","0,00","0,00",,,,,,,
4,8,7,47, ,3,0,1,884,,"0,06","0,00","0,02",,,,,,,
4,8,8,83, ,8,0,4,984,,"0,10","0,00","0,05",,,,,,,
4,8,9,109, ,15,2,2,1084,,"0,14","0,02","0,02",,,,,,,
4,8,10,396, ,53,7,9,184,,"0,13","0,02","0,02",,,,,,,
4,9,1,38, ,1,0,1,294,,"0,03","0,00","0,03",,,,,,,
4,9,2,34, ,0,0,1,394,,"0,00","0,00","0,03",,,,,,,
4,9,3,54, ,3,0,0,494,,"0,06","0,00","0,00",,,,,,,
4,9,4,238, ,29,2,5,594,,"0,12","0,01","0,02",,,,,,,
4,9,5,43, ,2,0,0,694,,"0,05","0,00","0,00",,,,,,,
4,9,6,61, ,4,0,1,794,,"0,07","0,00","0,02",,,,,,,
4,9,7,326, ,42,8,11,894,,"0,13","0,02","0,03",,,,,,,
4,9,8,120, ,11,1,1,994,,"0,09","0,01","0,01",,,,,,,
4,9,9,142, ,14,3,4,1094,,"0,10","0,02","0,03",,,,,,,
4,9,10,110, ,11,0,2,194,,"0,10","0,00","0,02",,,,,,,
4,10,1,35, ,0,0,1,304,,"0,00","0,00","0,03",,,,,,,
5,0,2,74, ,7,0,0,305,,"0,09","0,00","0,00",,,,,,,
5,0,3,135, ,17,3,6,405,,"0,13","0,02","0,04",,,,,,,
5,0,4,52, ,4,0,1,505,,"0,08","0,00","0,02",,,,,,,
5,0,5,173, ,20,5,5,605,,"0,12","0,03","0,03",,,,,,,
5,0,6,48, ,2,0,1,705,,"0,04","0,00","0,02",,,,,,,
5,0,7,296, ,39,10,5,805,,"0,13","0,03","0,02",,,,,,,
5,0,8,52, ,3,0,1,905,,"0,06","0,00","0,02",,,,,,,
5,0,9,44, ,1,1,1,1005,,"0,02","0,02","0,02",,,,,,,
5,0,10,73, ,7,1,7,105,,"0,10","0,01","0,10",,,,,,,
5,1,1,47, ,2,0,1,215,,"0,04","0,00","0,02",,,,,,,
5,1,2,98, ,10,2,5,315,,"0,10","0,02","0,05",,,,,,,
5,1,3,115, ,14,5,2,415,,"0,12","0,04","0,02",,,,,,,
5,1,4,92, ,8,0,2,515,,"0,09","0,00","0,02",,,,,,,
5,1,5,45, ,2,2,0,615,,"0,04","0,04","0,00",,,,,,,
5,1,6,288, ,38,5,10,715,,"0,13","0,02","0,03",,,,,,,
5,1,7,45, ,1,0,0,815,,"0,02","0,00","0,00",,,,,,,
5,1,8,149, ,19,1,4,915,,"0,13","0,01","0,03",,,,,,,
5,1,9,79, ,8,0,1,1015,,"0,10","0,00","0,01",,,,,,,
5,1,10,70, ,6,1,2,115,,"0,09","0,01","0,03",,,,,,,
5,2,1,151, ,17,2,7,225,,"0,11","0,01","0,05",,,,,,,
5,2,2,99, ,11,1,4,325,,"0,11","0,01","0,04",,,,,,,
5,2,3,410, ,58,6,16,425,,"0,14","0,01","0,04",,,,,,,
5,2,4,115, ,12,2,5,525,,"0,10","0,02","0,04",,,,,,,
5,2,5,160, ,21,2,7,625,,"0,13","0,01","0,04",,,,,,,
5,2,6,60, ,5,0,1,725,,"0,08","0,00","0,02",,,,,,,
5,2,7,73, ,7,0,1,825,,"0,10","0,00","0,01",,,,,,,
5,2,8,87, ,11,1,3,925,,"0,13","0,01","0,03",,,,,,,
5,2,9,63, ,6,1,5,1025,,"0,10","0,02","0,08",,,,,,,
5,2,10,357, ,53,13,16,125,,"0,15","0,04","0,04",,,,,,,
5,3,1,213, ,30,1,11,235,,"0,14","0,00","0,05",,,,,,,
5,3,2,38, ,1,0,0,335,,"0,03","0,00","0,00",,,,,,,
5,3,3,96, ,11,1,1,435,,"0,11","0,01","0,01",,,,,,,
5,3,4,37, ,1,1,0,535,,"0,03","0,03","0,00",,,,,,,
5,3,5,91, ,10,2,1,635,,"0,11","0,02","0,01",,,,,,,
5,3,6,70, ,7,1,3,735,,"0,10","0,01","0,04",,,,,,,
5,3,7,124, ,16,1,5,835,,"0,13","0,01","0,04",,,,,,,
5,3,8,173, ,23,2,10,935,,"0,13","0,01","0,06",,,,,,,
5,3,9,38, ,2,0,0,1035,,"0,05","0,00","0,00",,,,,,,
5,3,10,352, ,57,2,12,135,,"0,16","0,01","0,03",,,,,,,
5,4,1,158, ,23,2,8,245,,"0,15","0,01","0,05",,,,,,,
5,4,2,268, ,42,3,10,345,,"0,16","0,01","0,04",,,,,,,
5,4,3,243, ,32,7,7,445,,"0,13","0,03","0,03",,,,,,,
5,4,4,67, ,3,0,0,545,,"0,04","0,00","0,00",,,,,,,
5,4,5,54, ,3,1,1,645,,"0,06","0,02","0,02",,,,,,,
5,4,6,51, ,3,2,1,745,,"0,06","0,04","0,02",,,,,,,
5,4,7,58, ,3,1,3,845,,"0,05","0,02","0,05",,,,,,,
5,4,8,41, ,3,2,0,945,,"0,07","0,05","0,00",,,,,,,
5,4,9,64, ,5,1,2,1045,,"0,08","0,02","0,03",,,,,,,
5,4,10,79, ,6,1,3,145,,"0,08","0,01","0,04",,,,,,,
5,5,1,70, ,6,2,0,255,,"0,09","0,03","0,00",,,,,,,
5,5,2,81, ,6,3,0,355,,"0,07","0,04","0,00",,,,,,,
5,5,3,122, ,14,0,4,455,,"0,11","0,00","0,03",,,,,,,
5,5,4,81, ,8,2,1,555,,"0,10","0,02","0,01",,,,,,,
5,5,5,98, ,8,3,4,655,,"0,08","0,03","0,04",,,,,,,
5,5,6,180, ,23,2,6,755,,"0,13","0,01","0,03",,,,,,,
5,5,7,573, ,91,8,23,855,,"0,16","0,01","0,04",,,,,,,
5,5,8,463, ,67,10,23,955,,"0,14","0,02","0,05",,,,,,,
5,5,9,150, ,18,3,5,1055,,"0,12","0,02","0,03",,,,,,,
5,5,10,111, ,12,4,6,155,,"0,11","0,04","0,05",,,,,,,
5,6,1,111, ,13,2,0,265,,"0,12","0,02","0,00",,,,,,,
5,6,2,163, ,19,2,3,365,,"0,12","0,01","0,02",,,,,,,
5,6,3,626, ,96,8,17,465,,"0,15","0,01","0,03",,,,,,,
5,6,4,152, ,18,3,6,565,,"0,12","0,02","0,04",,,,,,,
5,6,5,352, ,53,9,11,665,,"0,15","0,03","0,03",,,,,,,
5,6,6,191, ,23,6,5,765,,"0,12","0,03","0,03",,,,,,,
5,6,7,130, ,16,1,1,865,,"0,12","0,01","0,01",,,,,,,
5,6,8,79, ,6,0,0,965,,"0,08","0,00","0,00",,,,,,,
5,6,9,51, ,2,0,0,1065,,"0,04","0,00","0,00",,,,,,,
5,6,10,33, ,0,0,0,165,,"0,00","0,00","0,00",,,,,,,
5,7,1,240, ,35,5,5,275,,"0,15","0,02","0,02",,,,,,,
5,7,2,215, ,32,4,7,375,,"0,15","0,02","0,03",,,,,,,
5,7,3,107, ,13,2,0,475,,"0,12","0,02","0,00",,,,,,,
5,7,4,53, ,4,0,0,575,,"0,08","0,00","0,00",,,,,,,
5,7,5,69, ,7,0,1,675,,"0,10","0,00","0,01",,,,,,,
5,7,6,35, ,1,0,1,775,,"0,03","0,00","0,03",,,,,,,
5,7,7,52, ,3,0,1,875,,"0,06","0,00","0,02",,,,,,,
5,7,8,283, ,40,6,14,975,,"0,14","0,02","0,05",,,,,,,
5,7,9,45, ,1,0,0,1075,,"0,02","0,00","0,00",,,,,,,
5,7,10,469, ,69,7,17,175,,"0,15","0,01","0,04",,,,,,,
5,8,1,68, ,5,4,2,285,,"0,07","0,06","0,03",,,,,,,
5,8,2,255, ,37,7,13,385,,"0,15","0,03","0,05",,,,,,,
5,8,3,56, ,5,0,0,485,,"0,09","0,00","0,00",,,,,,,
5,8,4,110, ,14,3,2,585,,"0,13","0,03","0,02",,,,,,,
5,8,5,164, ,22,6,2,685,,"0,13","0,04","0,01",,,,,,,
5,8,6,36, ,0,0,0,785,,"0,00","0,00","0,00",,,,,,,
5,8,7,104, ,12,2,0,885,,"0,12","0,02","0,00",,,,,,,
5,8,8,231, ,33,2,6,985,,"0,14","0,01","0,03",,,,,,,
5,8,9,281, ,40,6,8,1085,,"0,14","0,02","0,03",,,,,,,
5,8,10,44, ,1,1,0,185,,"0,02","0,02","0,00",,,,,,,
5,9,1,59, ,5,0,0,295,,"0,08","0,00","0,00",,,,,,,
5,9,2,65, ,3,1,2,395,,"0,05","0,02","0,03",,,,,,,
5,9,3,22, ,0,0,0,495,,"0,00","0,00","0,00",,,,,,,
5,9,4,25, ,2,0,0,595,,"0,08","0,00","0,00",,,,,,,
5,9,5,4, ,1,0,0,695,,"0,25","0,00","0,00",,,,,,,
5,9,6,9, ,0,0,0,795,,"0,00","0,00","0,00",,,,,,,
5,9,7,4, ,0,0,0,895,,"0,00","0,00","0,00",,,,,,,
5,9,8,11, ,0,0,0,995,,"0,00","0,00","0,00",,,,,,,
5,9,9,199, ,27,6,9,1095,,"0,14","0,03","0,05",,,,,,,
5,9,10,328, ,43,7,19,195,,"0,13","0,02","0,06",,,,,,,
5,10,1,161, ,21,3,8,305,,"0,13","0,02","0,05",,,,,,,
6,0,2,155, ,16,1,2,306,,"0,10","0,01","0,01",,,,,,,
6,0,3,88, ,9,2,3,406,,"0,10","0,02","0,03",,,,,,,
6,0,4,84, ,7,1,7,506,,"0,08","0,01","0,08",,,,,,,
6,0,5,187, ,28,4,4,606,,"0,15","0,02","0,02",,,,,,,
6,0,6,60, ,4,0,1,706,,"0,07","0,00","0,02",,,,,,,
6,0,7,113, ,15,3,4,806,,"0,13","0,03","0,04",,,,,,,
6,0,8,273, ,37,2,14,906,,"0,14","0,01","0,05",,,,,,,
6,0,9,346, ,50,4,20,1006,,"0,14","0,01","0,06",,,,,,,
6,0,10,99, ,10,4,4,106,,"0,10","0,04","0,04",,,,,,,
6,1,1,119, ,13,1,6,216,,"0,11","0,01","0,05",,,,,,,
6,1,2,129, ,13,5,6,316,,"0,10","0,04","0,05",,,,,,,
6,1,3,359, ,49,6,12,416,,"0,14","0,02","0,03",,,,,,,
6,1,4,101, ,11,0,3,516,,"0,11","0,00","0,03",,,,,,,
6,1,5,213, ,24,2,4,616,,"0,11","0,01","0,02",,,,,,,
6,1,6,79, ,6,0,2,716,,"0,08","0,00","0,03",,,,,,,
6,1,7,81, ,7,0,3,816,,"0,09","0,00","0,04",,,,,,,
6,1,8,93, ,12,2,2,916,,"0,13","0,02","0,02",,,,,,,
6,1,9,48, ,2,0,0,1016,,"0,04","0,00","0,00",,,,,,,
6,1,10,218, ,27,5,9,116,,"0,12","0,02","0,04",,,,,,,
6,2,1,922, ,156,15,45,226,,"0,17","0,02","0,05",,,,,,,
6,2,2,62, ,5,2,1,326,,"0,08","0,03","0,02",,,,,,,
6,2,3,44, ,2,0,1,426,,"0,05","0,00","0,02",,,,,,,
6,2,4,80, ,6,0,2,526,,"0,08","0,00","0,03",,,,,,,
6,2,5,284, ,39,3,9,626,,"0,14","0,01","0,03",,,,,,,
6,2,6,733, ,116,15,32,726,,"0,16","0,02","0,04",,,,,,,
6,2,7,51, ,4,0,0,826,,"0,08","0,00","0,00",,,,,,,
6,2,8,60, ,4,1,3,926,,"0,07","0,02","0,05",,,,,,,
6,2,9,77, ,4,1,1,1026,,"0,05","0,01","0,01",,,,,,,
6,2,10,294, ,45,8,12,126,,"0,15","0,03","0,04",,,,,,,
6,3,1,66, ,4,2,0,236,,"0,06","0,03","0,00",,,,,,,
6,3,2,89, ,11,3,2,336,,"0,12","0,03","0,02",,,,,,,
6,3,3,73, ,7,0,2,436,,"0,10","0,00","0,03",,,,,,,
6,3,4,196, ,30,3,7,536,,"0,15","0,02","0,04",,,,,,,
6,3,5,159, ,21,3,8,636,,"0,13","0,02","0,05",,,,,,,
6,3,6,146, ,20,1,5,736,,"0,14","0,01","0,03",,,,,,,
6,3,7,43, ,2,2,1,836,,"0,05","0,05","0,02",,,,,,,
6,3,8,44, ,2,1,1,936,,"0,05","0,02","0,02",,,,,,,
6,3,9,134, ,18,1,6,1036,,"0,13","0,01","0,04",,,,,,,
6,3,10,52, ,2,2,1,136,,"0,04","0,04","0,02",,,,,,,
6,4,1,284, ,45,4,16,246,,"0,16","0,01","0,06",,,,,,,
6,4,2,37, ,1,0,1,346,,"0,03","0,00","0,03",,,,,,,
6,4,3,152, ,21,3,6,446,,"0,14","0,02","0,04",,,,,,,
6,4,4,125, ,17,3,4,546,,"0,14","0,02","0,03",,,,,,,
6,4,5,52, ,3,1,1,646,,"0,06","0,02","0,02",,,,,,,
6,4,6,124, ,17,1,5,746,,"0,14","0,01","0,04",,,,,,,
6,4,7,248, ,35,3,9,846,,"0,14","0,01","0,04",,,,,,,
6,4,8,49, ,2,0,0,946,,"0,04","0,00","0,00",,,,,,,
6,4,9,45, ,1,1,1,1046,,"0,02","0,02","0,02",,,,,,,
6,4,10,337, ,42,12,16,146,,"0,12","0,04","0,05",,,,,,,
6,5,1,139, ,19,1,5,256,,"0,14","0,01","0,04",,,,,,,
6,5,2,75, ,8,0,2,356,,"0,11","0,00","0,03",,,,,,,
6,5,3,522, ,71,5,24,456,,"0,14","0,01","0,05",,,,,,,
6,5,4,105, ,13,4,6,556,,"0,12","0,04","0,06",,,,,,,
6,5,5,764, ,113,15,38,656,,"0,15","0,02","0,05",,,,,,,
6,5,6,315, ,44,6,17,756,,"0,14","0,02","0,05",,,,,,,
6,5,7,884, ,142,16,51,856,,"0,16","0,02","0,06",,,,,,,
6,5,8,86, ,9,1,5,956,,"0,10","0,01","0,06",,,,,,,
6,5,9,486, ,67,4,12,1056,,"0,14","0,01","0,02",,,,,,,
6,5,10,215, ,32,7,8,156,,"0,15","0,03","0,04",,,,,,,
6,6,1,79, ,6,0,3,266,,"0,08","0,00","0,04",,,,,,,
6,6,2,120, ,17,2,2,366,,"0,14","0,02","0,02",,,,,,,
6,6,3,135, ,14,2,3,466,,"0,10","0,01","0,02",,,,,,,
6,6,4,83, ,10,2,3,566,,"0,12","0,02","0,04",,,,,,,
6,6,5,98, ,11,1,3,666,,"0,11","0,01","0,03",,,,,,,
6,6,6,69, ,6,0,1,766,,"0,09","0,00","0,01",,,,,,,
6,6,7,80, ,7,2,0,866,,"0,09","0,03","0,00",,,,,,,
6,6,8,202, ,28,3,8,966,,"0,14","0,01","0,04",,,,,,,
6,6,9,69, ,5,0,0,1066,,"0,07","0,00","0,00",,,,,,,
6,6,10,58, ,3,1,3,166,,"0,05","0,02","0,05",,,,,,,
6,7,1,43, ,2,0,1,276,,"0,05","0,00","0,02",,,,,,,
6,7,2,325, ,49,6,19,376,,"0,15","0,02","0,06",,,,,,,
6,7,3,22, ,0,0,0,476,,"0,00","0,00","0,00",,,,,,,
6,7,4,140, ,17,3,2,576,,"0,12","0,02","0,01",,,,,,,
6,7,5,75, ,5,0,2,676,,"0,07","0,00","0,03",,,,,,,
6,7,6,152, ,17,2,7,776,,"0,11","0,01","0,05",,,,,,,
6,7,7,148, ,14,3,4,876,,"0,09","0,02","0,03",,,,,,,
6,7,8,38, ,0,0,0,976,,"0,00","0,00","0,00",,,,,,,
6,7,9,197, ,28,4,6,1076,,"0,14","0,02","0,03",,,,,,,
6,7,10,68, ,6,0,1,176,,"0,09","0,00","0,01",,,,,,,
6,8,1,110, ,13,0,3,286,,"0,12","0,00","0,03",,,,,,,
6,8,2,841, ,120,16,36,386,,"0,14","0,02","0,04",,,,,,,
6,8,3,355, ,48,9,4,486,,"0,14","0,03","0,01",,,,,,,
6,8,4,65, ,3,0,1,586,,"0,05","0,00","0,02",,,,,,,
6,8,5,93, ,6,0,0,686,,"0,06","0,00","0,00",,,,,,,
6,8,6,145, ,16,5,4,786,,"0,11","0,03","0,03",,,,,,,
6,8,7,143, ,13,3,3,886,,"0,09","0,02","0,02",,,,,,,
6,8,8,336, ,49,8,10,986,,"0,15","0,02","0,03",,,,,,,
6,8,9,332, ,43,3,16,1086,,"0,13","0,01","0,05",,,,,,,
6,8,10,180, ,24,5,4,186,,"0,13","0,03","0,02",,,,,,,
6,9,1,236, ,30,2,2,296,,"0,13","0,01","0,01",,,,,,,
6,9,2,42, ,1,0,1,396,,"0,02","0,00","0,02",,,,,,,
6,9,3,142, ,18,6,3,496,,"0,13","0,04","0,02",,,,,,,
6,9,4,171, ,23,5,6,596,,"0,13","0,03","0,04",,,,,,,
6,9,5,114, ,15,2,2,696,,"0,13","0,02","0,02",,,,,,,
6,9,6,97, ,10,2,2,796,,"0,10","0,02","0,02",,,,,,,
6,9,7,61, ,3,1,1,896,,"0,05","0,02","0,02",,,,,,,
6,9,8,146, ,17,6,5,996,,"0,12","0,04","0,03",,,,,,,
6,9,9,490, ,70,10,15,1096,,"0,14","0,02","0,03",,,,,,,
6,9,10,82, ,4,1,1,196,,"0,05","0,01","0,01",,,,,,,
6,10,1,151, ,21,4,1,306,,"0,14","0,03","0,01",,,,,,,
7,0,2,39, ,0,0,0,307,,"0,00","0,00","0,00",,,,,,,
7,0,3,125, ,13,1,2,407,,"0,10","0,01","0,02",,,,,,,
7,0,4,50, ,3,0,0,507,,"0,06","0,00","0,00",,,,,,,
7,0,5,226, ,35,2,8,607,,"0,15","0,01","0,04",,,,,,,
7,0,6,122, ,14,1,3,707,,"0,11","0,01","0,02",,,,,,,
7,0,7,94, ,10,2,2,807,,"0,11","0,02","0,02",,,,,,,
7,0,8,143, ,19,4,5,907,,"0,13","0,03","0,03",,,,,,,
7,0,9,64, ,6,1,1,1007,,"0,09","0,02","0,02",,,,,,,
7,0,10,35, ,0,0,1,107,,"0,00","0,00","0,03",,,,,,,
7,1,1,33, ,0,0,0,217,,"0,00","0,00","0,00",,,,,,,
7,1,2,40, ,0,0,0,317,,"0,00","0,00","0,00",,,,,,,
7,1,3,37, ,0,0,0,417,,"0,00","0,00","0,00",,,,,,,
7,1,4,164, ,22,2,4,517,,"0,13","0,01","0,02",,,,,,,
7,1,5,101, ,10,3,1,617,,"0,10","0,03","0,01",,,,,,,
7,1,6,35, ,1,0,0,717,,"0,03","0,00","0,00",,,,,,,
7,1,7,89, ,8,1,5,817,,"0,09","0,01","0,06",,,,,,,
7,1,8,69, ,7,0,0,917,,"0,10","0,00","0,00",,,,,,,
